city,year,pop,enroll,rent,rnthsg,tothsg,avginc,lenroll,lpop,lrent,ltothsg,lrnthsg,lavginc,clenroll,clpop,clrent,cltothsg,clrnthsg,clavginc,pctstu,cpctstu,y90
1,80,75211,15303,197,13475,26167,11537,9.635804176,11.22805309,5.283203602,10.17225456,9.508591652,9.3533144,NA,NA,NA,NA,NA,NA,20.34675789,NA,0
1,90,77759,18017,342,15660,29467,19568,9.799071312,11.26136971,5.834810734,10.29102612,9.658864975,9.881650925,-15293.20117,0.033316612,0.551607132,0.118771553,0.150273323,0.528336525,23.17030907,2.823551178,1
2,80,106743,22462,323,14580,37277,19841,10.01957989,11.57817936,5.777652264,10.52613163,9.587406158,9.895505905,NA,NA,NA,NA,NA,NA,21.04306602,NA,0
2,90,141865,29769,496,26895,55540,31885,10.3012228,11.86263084,6.206575871,10.92485905,10.19969559,10.36989117,-22451.69922,0.284451485,0.428923607,0.398727417,0.612289429,0.474385262,20.98403358,-0.05903244,1
3,80,36608,11847,216,7026,13482,11455,9.37983036,10.50802231,5.375278473,9.509110451,8.857373238,9.34618187,NA,NA,NA,NA,NA,NA,32.36177826,NA,0
3,90,42099,10265,351,9557,16894,21202,9.236495018,10.64777946,5.860786438,9.734713554,9.165029526,9.96185112,-11837.76367,0.139757156,0.485507965,0.225603104,0.307656288,0.61566925,24.38300133,-7.978776932,1
4,80,36640,13825,267,7896,14041,14682,9.534234047,10.50889587,5.587248802,9.549736977,8.974111557,9.594377518,NA,NA,NA,NA,NA,NA,37.731987,NA,0
4,90,46209,18173,588,10617,17926,29044,9.807692528,10.7409296,6.376727104,9.794007301,9.270212173,10.27656746,-13815.19238,0.23203373,0.789478302,0.244270325,0.296100616,0.682189941,39.32783508,1.595848083,1
5,80,62134,8175,475,5796,21337,31300,9.008835793,11.03704834,6.163314819,9.968197823,8.664923668,10.35137367,NA,NA,NA,NA,NA,NA,13.15704727,NA,0
5,90,110330,18205,925,15112,40257,56307,9.809451103,11.61123085,6.82979393,10.60303879,9.623244286,10.93857384,-8165.19043,0.57418251,0.666479111,0.634840965,0.958320618,0.587200165,16.50049782,3.343450546,1
6,80,118550,12223,276,25562,47056,16291,9.411074638,11.68309021,5.620400906,10.75909328,10.14886189,9.698368073,NA,NA,NA,NA,NA,NA,10.31041718,NA,0
6,90,132605,15192,630,26972,50199,35103,9.628523827,11.79512978,6.445719719,10.8237505,10.2025547,10.46604156,-12213.37109,0.112039566,0.825318813,0.064657211,0.053692818,0.767673492,11.45658112,1.14616394,1
7,80,76685,20724,302,15185,28674,16744,9.939047813,11.24746132,5.710426807,10.26374626,9.628063202,9.725794792,NA,NA,NA,NA,NA,NA,27.02484131,NA,0
7,90,83312,24809,521,18674,34681,29407,10.11896133,11.33034801,6.255750179,10.45394707,9.834887505,10.28898811,-20713.88086,0.082886696,0.545323372,0.190200806,0.206824303,0.563193321,29.77842331,2.753582001,1
8,80,65092,17134,257,10874,23543,15773,9.748820305,11.08355713,5.54907608,10.06658363,9.294130325,9.666054726,NA,NA,NA,NA,NA,NA,26.32274246,NA,0
8,90,87758,21377,422,15943,33689,26826,9.970070839,11.38233852,6.045005322,10.42492676,9.676774979,10.19712639,-17124.0293,0.298781395,0.495929241,0.358343124,0.382644653,0.531071663,24.35903358,-1.963708878,1
9,80,126109,16009,253,32471,46880,11683,9.680906296,11.74490166,5.533389568,10.7553463,10.38810253,9.365890503,NA,NA,NA,NA,NA,NA,12.6945734,NA,0
9,90,130474,19012,568,33417,48986,25811,9.852825165,11.77892971,6.342121601,10.7992897,10.41681957,10.15855598,-15999.14746,0.034028053,0.808732033,0.043943405,0.028717041,0.792665482,14.57148552,1.876912117,1
10,80,81371,24528,242,14782,28307,12586,10.10757065,11.30677414,5.488937855,10.25086403,9.601165771,9.440340042,NA,NA,NA,NA,NA,NA,30.14341736,NA,0
10,90,84770,26027,383,16889,31924,21077,10.16689014,11.34769726,5.948034763,10.37111378,9.734417915,9.955937386,-24517.83398,0.040923119,0.459096909,0.120249748,0.133252144,0.515597343,30.70307922,0.559661865,1
11,80,81548,22735,228,17344,30822,11750,10.03166103,11.30894661,5.429345608,10.33598423,9.761001587,9.371608734,NA,NA,NA,NA,NA,NA,27.87928581,NA,0
11,90,124773,33980,444,27655,50442,23453,10.43352699,11.73425102,6.095824718,10.8285799,10.22756195,10.06275368,-22724.56641,0.425304413,0.666479111,0.492595673,0.466560364,0.691144943,27.23345566,-0.645830154,1
12,80,42549,14863,187,9506,15055,10018,9.606630325,10.65841198,5.231108665,9.619465828,9.159678459,9.21213913,NA,NA,NA,NA,NA,NA,34.93149185,NA,0
12,90,45734,18396,347,11332,17012,14286,9.819888115,10.7305975,5.849324703,9.741674423,9.335386276,9.567035675,-14853.17969,0.072185516,0.618216038,0.122208595,0.175707817,0.354896545,40.22390366,5.292411804,1
13,80,58133,19532,243,11014,21238,14894,9.87980938,10.97048855,5.493061543,9.963547707,9.306922913,9.608714104,NA,NA,NA,NA,NA,NA,33.59881592,NA,0
13,90,63502,21070,422,12765,24173,22967,9.955605507,11.05882645,6.045005322,10.09299183,9.454462051,10.04181385,-19522.04492,0.088337898,0.551943779,0.129444122,0.147539139,0.433099747,33.18005753,-0.418758392,1
14,80,73706,12215,336,14381,27907,21715,9.410420418,11.20783901,5.817111015,10.2366333,9.573662758,9.985758781,NA,NA,NA,NA,NA,NA,16.57259941,NA,0
