date,GLA,sales
1/1/2019,"15,000",671173737
2/1/2019,"15,000",671080176
3/1/2019,"15,000",668554770
4/1/2019,"15,000",673462140
5/1/2019,"15,000",678639078
6/1/2019,"15,000",683453316
7/1/2019,"15,000",684125988
8/1/2019,"15,000",690799278
9/1/2019,"15,000",696853482
10/1/2019,"15,000",707416008
11/1/2019,"15,000",720257304
12/1/2019,"15,000",733442346
1/1/2020,"15,000",740144457
2/1/2020,"15,000",746428488
3/1/2020,"15,000",716883921
4/1/2020,"15,000",663920946
5/1/2020,"15,000",602554017
6/1/2020,"15,000",547779102
7/1/2020,"15,000",524932980
8/1/2020,"15,000",503396127
9/1/2020,"15,000",486107973
10/1/2020,"15,000",462340359
11/1/2020,"15,000",405261168
12/1/2020,"15,000",321231378
1/1/2021,"15,000",267750483
2/1/2021,"15,000",220604553
3/1/2021,"15,000",228750366
4/1/2021,"15,000",232479546
5/1/2021,"15,000",232479546
6/1/2021,"15,000",218493015
7/1/2021,"15,000",238024527
8/1/2021,"15,000",256091160
9/1/2021,"15,000",266295822
10/1/2021,"15,000",292288932
11/1/2021,"15,000",352186302
12/1/2021,"15,000",429409188
1/1/2022,"15,000",460649046
2/1/2022,"15,000",509380482
3/1/2022,"15,000",546595725
4/1/2022,"15,000",615690348
5/1/2022,"15,000",700685037
6/1/2022,"15,000",781649661
7/1/2022,"15,000",807808833
8/1/2022,"15,000",830340693
9/1/2022,"15,000",860470026
10/1/2022,"15,000",882098958
11/1/2022,"15,000",895414494
12/1/2022,"15,000",919914840
